X,Y,Z,Name,tipo,descripcion,telefono,horario,direccion,especialidades,Contrera,Horario2,Martes y Jueves,TE,TEL,n,n de,rcoles y Viernes
-64.164217,-31.43975,0,CS N° 11 - Crisol Sur,Centro de Salud,"Calle Tolosa 2564 esq. Castilla
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4338750 / 60",4338750 / 60,"Lunes a viernes de 7 a 14 hs.
",Tolosa esq. Castilla 2564,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4338750 / 60,,Lunes a viernes de 7 a 14 hs.,,
-64.108868,-31.461173,0,CS N° 12 - Ferreyra,Centro de Salud,"Calle Armas Argentinas 5747
Atención: Lunes a viernes de 7 a 19 hs.
TE: 4338630","4338630","Lunes a viernes de 7 a 19 hs.
",Armas Argentinas 5747,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4338630",,Lunes a viernes de 7 a 19 hs.,,
-64.186984,-31.372752,0,CS N° 13 - Hipolito Yrigoyen,Centro de Salud,"Calle Avellaneda 3571
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4335435","4335435",Lunes a viernes de 7 a 14 hs.,Avellaneda 3571,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4335435",,Lunes a viernes de 7 a 14 hs.,,
-64.163957,-31.387143,0,CS N° 14 - General Bustos,Centro de Salud,"Calle Diagonal Ica 1010
Atención: Lunes, martes, miércoles y viernes de 7 a 14hs. Jueves de 7 a 15:30 hs. 
TE: 4336003","4336003","Lunes, martes, miércoles y viernes de 7 a 14hs; jueves de 7 a 15:30 hs. 
",Diagonal Ica 1010,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología",,,,"4336003",,"Lunes, martes, miércoles y viernes de 7 a 14hs. Jueves de 7 a 15:30 hs.",,
-64.178771,-31.339123,0,CS N° 15 - Remedios de Escalada,Centro de Salud,"Calle 5 entre 14 y 15
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4332860/61",4332860/61,"Lunes a viernes de 7 a 14 hs.
",Calle 5 entre 14 y 15,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4332860/61,,Lunes a viernes de 7 a 14 hs.,,
-64.205153,-31.375246,0,CS N° 16 - Zumaran,Centro de Salud,"Calle Sebastian Gaboto 2356
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4335108 / 5438",4335108 / 5438,"Lunes a viernes de 7 a 14 hs.
",Sebastian Gaboto 2356,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335108 / 5438,,Lunes a viernes de 7 a 14 hs.,,
-64.175209,-31.36641,0,CS N° 17 - Villa Azalaiz Oeste,Centro de Salud,"Calle Acampes esq. Gerchunoff
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4335109 / 5436",4335109 / 5436,"Lunes a viernes de 7 a 14 hs.
",Acampes esq. Gerchunoff,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335109 / 5436,,Lunes a viernes de 7 a 14 hs.,,
-64.132154,-31.374268,0,CS N° 18 - San Jorge,Centro de Salud,"Calle Barrancas del Parana esq. Jose Melian
Atención: Lunes a viernes de 7 a 18 hs.
TE: 4335103/ 5429",4335103/ 5429,"Lunes a viernes de 7 a 18 hs.
",Barrancas del Paraná esq. José Melián,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335103/ 5429,,Lunes a viernes de 7 a 18 hs.,,
-64.194928,-31.375731,0,CS N° 19 - Sargento Cabral,Centro de Salud,"Calle Francisco Suarez 3170
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4335110 / 5439",4335110 / 5439,"Lunes a viernes de 7 a 14 hs.
",Francisco Suarez 3170,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.
",,,,4335110 / 5439,,Lunes a viernes de 7 a 14 hs.,,
-64.210984,-31.377368,0,CS N° 20 - Las Margaritas,Centro de Salud,"Calle Herminio Malvino 2662
Atención: Lunes a viernes de 7 a 14 hs
TE: 4335104 / 5440",4335104 / 5440,"Lunes a viernes de 7 a 14 hs
",Herminio Malvino 2662,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335104 / 5440,,Lunes a viernes de 7 a 14 hs,,
-64.196747,-31.364883,0,CS N° 21 - Marqués de Sobremonte,Centro de Salud,"Calle Nuflo Aguilar 5441 esq. Tomas de Irobi
Atención: Lunes a viernes de 7 a 14hs
TE: 4335105/ 5441",4335105/ 5441,"Lunes a viernes de 7 a 14hs
",Nuflo de Aguilar 5441 esq. Tomas de Irobi,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335105/ 5441,,Lunes a viernes de 7 a 14hs,,
-64.213613,-31.412561,0,CS N° 22 -Alberdi Sud,Centro de Salud,"Calle Gavino Blanco 2229 esq. Angel Avalos
Atención: Lunes a viernes de 7 a 14 hs
TE: 4337310 / 7364",4337310 / 7364,"Lunes a viernes de 7 a 14 hs
",Gavino Blanco 2229 esq. Ángel Avalos,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4337310 / 7364,,Lunes a viernes de 7 a 14 hs,,
-64.22351,-31.43749,0,CS N° 23 - Rosedal Anexo,Centro de Salud,"Calle Padre Lozano 2490
Atenció: Lunes a viernes de 7 a 14 hs
TE: 4333302","4333302","Lunes a viernes de 7 a 14 hs
",Padre Lozano 2490 esq. Lagunilla,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4333302",,,,
-64.207929,-31.423763,0,CS N° 24 - Cupani,Centro de Salud,"Calle Isaac Albeniz 1454
Atención: Lunes a viernes de 7 a 14 hs
TE: 4333303 / 3518",4333303 / 3518,"Lunes a viernes de 7 a 14 hs
",Isaac Albeniz 1454,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4333303 / 3518,,Lunes a viernes de 7 a 14 hs,,
-64.196768,-31.394638,0,CS N° 25 - San MartÍn,Centro de Salud,"Calle Paso de Uspallata 991
Atención: Lunes a viernes de 7 a 14 hs
TE: 4336021","4336021","Lunes a viernes de 7 a 14 hs.

",Paso de Uspallata 991,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4336021",,Lunes a viernes de 7 a 14 hs,,
-64.232517,-31.414465,0,CS N° 26 - Santa Ana,Centro de Salud,"Calle Gurruchaga 785
Atención: Lunes a viernes de 7 a 17 hs
TE: 4337306","4337306","Lunes a viernes de 7 a 17 hs
",Gurruchaga 785,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4337306",,Lunes a viernes de 7 a 17 hs,,
-64.156071,-31.443944,0,CS N° 27 - Pilar,Centro de Salud,"Tapalque esq Patagones
Atención: Lunes a viernes de 7 a 14 hs
TE: 4338553
","4338553
","Lunes a viernes de 7 a 14 hs
",Tapalque esq Patagones,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4338553",,Lunes a viernes de 7 a 14 hs,,
-64.250729,-31.410755,0,CS N° 28 - Las Violetas,Centro de Salud,"Calle Aviador Locatelli y Formosa
Atención: Lunes a viernes de 7 a 14hs
TE: 4337302","4337302","Lunes a viernes de 7 a 14hs
",Aviador Locatelli y Formosa,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4337302",,Lunes a viernes de 7 a 14hs,,
-64.227643,-31.39575,0,CS N° 29 - Villa Siburu,Centro de Salud,"Boderau 3640 esq. Pje Publico
Atención: Lunes a viernes de 7 a 14 hs
TE: 4337307","4337307","Lunes a viernes de 7 a 14 hs
","Boderau 3640 esq. Pje Publico
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4337307",,Lunes a viernes de 7 a 14 hs,,
-64.206803,-31.397133,0,CS N° 30 - Villa Paez,Centro de Salud,"Calle Emilio Coni 1050
Atención: Lunes a viernes de 7 a 14 hs.
TE: 4337308","4337308","Lunes a viernes de 7 a 14 hs.
","Emilio Coni 2090 esq. Silvestre Remonda

","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4337308",,Lunes a viernes de 7 a 14 hs.,,
-64.275016,-31.344291,0,CS N° 31 - La Salle,Centro de Salud,"Calle Curaquen 6500
Atención: Lunes a Viernes de 7 a 15hs.
TE: 03543-449427",03543-449427,"Lunes a viernes de 7 a 15 hs.
","Curaquen 6500
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,03543-449427,,Lunes a Viernes de 7 a 15hs.,,
-64.149583,-31.41276,0,CS N° 32 - Yapeyu,Centro de Salud,"Calle Loreto 42
Atención 7 a 14, 15-20hs
TE: 4339110/36",4339110/36,"Lunes a viernes de 7 a 14 -15 a 20 hs.
","Loreto 42

","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4339110/36,,,,
-64.266425,-31.327899,0,CSN° 33 - Argüello,Centro de Salud,"Av Ricardo Rojas 5950 - Argüello
Atención: Lunes a viernes de 7-16hs",0351-156100451,Lunes a viernes de 7 a 16 hs,"Gabriel Ortega 8050, Argüello Lourdes. ","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,,,Lunes a viernes de 7-16hs,,
-64.271704,-31.328768,0,CS N° 34 - Villa 9 de Julio,Centro de Salud,"Calle Coquena 7850 esq. Huarpes
Atención: Lunes a viernes de 7 a 14hs
TE: 03543-449428/22",03543-449428/22,"Lunes a viernes de 7 a 14 hs
","Coquena 7850 esq. Huarpes
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,03543-449428/22,,Lunes a viernes de 7 a 14hs,,
-64.170448,-31.445921,0,CS N° 35 - Villa Revol,Centro de Salud,"Calle Chascomus 1750
Atención: Lunes a viernes de 7 a 14hs
TE: 4334359/51",4334359/51,"Lunes a viernes de 7 a 14 hs
","Chascomus 1750
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4334359/51,,Lunes a viernes de 7 a 14hs,,
-64.140673,-31.442724,0,CS N° 37 - José Ignacio Diaz ,Centro de Salud,"Gral. Pedernera 2734 esq. Albornoz
Atención: Lunes a viernes de 7 a 17hs
TE: 4338758","4338758","Lunes a viernes de 7 a 17 hs
","Gral. Pedernera 2734 esq. Albornoz
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4338758",,Lunes a viernes de 7 a 17hs,,
-64.14785,-31.439245,0,CS N° 38 - Urquiza,Centro de Salud,"Calle Miguel de Marmol 2956
Atención: Lunes a viernes de 7 a 14hs
TE: 4338555/ 38765",4338555/ 38765,"Lunes a viernes de 7 a 14 hs
","Miguel de Mármol 2956
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4338555/ 38765,,Lunes a viernes de 7 a 14hs,,
-64.210871,-31.445241,0,CS N° 39 - Ferrer,Centro de Salud,"Calle Bustos y Ferreyra 3100 esq. M. Baigorria
Atención: Lunes a viernes de 7 a 14hs
TE: 4334355","4334355","Lunes a viernes de 7 a 14 hs
","Bustos y Ferreyra 3100 esq. M. Baigorria
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4334355",,Lunes a viernes de 7 a 14hs,,
-64.202272,-31.451094,0,CS N° 40 - Las Flores,Centro de Salud,"Avenida Armada Agentina 105
Atención: Lunes a viernes de 7 a 14hs
TE: 4334353","4334353","Lunes a viernes de 7 a 14 hs
","Avenida Armada Argentina 105
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4334353",,Lunes a viernes de 7 a 14hs,,
-64.214358,-31.469805,0,CS N° 41 - Villa El Libertador,Centro de Salud,"Calle Chiclayo 105 (entre Pje. Publico y Defensa)
Atención de: Lunes a viernes de 7 a 19hs
TE: 4333211","4333211","Lunes a viernes de 7 a 19 hs
","Chiclayo 105 entre Pje. Público y Defensa

","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4333211",,,Lunes a viernes de 7 a 19hs,
-64.209587,-31.484598,0,CS N° 42 - Comercial,Centro de Salud,"Calle Virgen de Fatima esq. Rio Tercero
Atención: Lunes a viernes de 7 a 18hs
TE: 4333312 / 3187",4333312 / 3187,"Lunes a viernes de 7 a 18 hs
","Virgen de Fátima esq. Rio Tercero
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4333312 / 3187,,Lunes a viernes de 7 a 18hs,,
-64.194918,-31.42379,0,CS N° 43 - Guemes,Centro de Salud,"Calle Bolivar 826
Atención: 7 a 14 hs.
TE: 4334377 / 4366",4334377 / 4366,"Lunes a viernes de 7 a 14 hs.
","Bolivar 826
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4334377 / 4366,,7 a 14 hs.,,
-64.208575,-31.434609,0,CS N° 44 - Bella Vista,Centro de Salud,"Calle Alejandro Dumas esq. Venus
Atención 7 a 14 hs
TE: 4334281","4334281","Lunes a viernes de 7 a 14 hs
","Alejandro Dumas esq. Venus
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4334281",,,,
-64.205303,-31.463756,0,CS N° 45 - Cabo Farina,Centro de Salud,"Calle Viña del Mar 4651
Atención: Lunes a Viernes  7 a 14hs.
TE: 4334280","4334280","Lunes a Viernes  7 a 14hs.
","Viña del Mar 4651
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4334280",,Lunes a Viernes  7 a 14hs.,,
-64.229615,-31.479408,0,CS N° 46 - Santa Isabel,Centro de Salud,"Calle Alto del Tala 5600
Atención 7 a 14 hs 
TE: 4333213 - 4333313",4333213 - 4333313,"Lunes a viernes de 7 a 14 hs
","Alto del Tala S/N entre Cajamarca e Isla Verde 
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4333213 - 4333313,,,,
-64.143159,-31.478775,0,CS N° 47 - Coronel Olmedo,Centro de Salud,"Calle Ruiz Huidobro (Numeración 5850 es al lado)
Atención 7 a 19 hs
TE: 4338633","4338633","Lunes a viernes de  7 a 19 hs
",Pascual Ruiz Huidobro (la numeración 5850 es al lado),"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4338633",,,,
-64.150701,-31.37525,0,CS N° 48 - Villa Azalais Este,Centro de Salud,"Calle Milan 2960
Atención: 7 a 14hs.
TE: 4335106 / 5437",4335106 / 5437,"Lunes a viernes de 7 a 14 hs.
","Milan 2960
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335106 / 5437,,7 a 14hs.,,
-64.248691,-31.379297,0,CS N° 49 - Colinas del Cerro,Centro de Salud,"Calle Las Acacias esq Ramon Mestre
Atención 7 a 14hs
TE: 4338405","4338405","Lunes a viernes de 7 a 14 hs
","Las Acacias esq. Ramón Mestre
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.
",,,,"4338405",,,,
-64.248264,-31.435822,0,CS N° 50 - Villa Adela,Centro de Salud,"Calle Gabriela Mistral 4711
Atención: 7 a 17 hs.
TE: 4333304","4333304","Lunes a viernes 7 a 17 hs.
",Gabriela Mistral 4711 esquina Petirossi,"Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4333304",,7 a 17 hs.,,
-64.176877,-31.313835,0,CS N° 51 - Guiñazu,Centro de Salud,"Calle De la Caja esq. Del Erquencho
Atención 7 a 18 hs
TE: 4995883/1883",4995883/1883,"Lunes a viernes de 7 a 18 hs
","De la Caja esq. Del Erquencho
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4995883/1883,,,,
-64.241363,-31.391963,0,CS N° 52 - Villa Urquiza,Centro de Salud,"Calle Humberto 1º 4900 (esq. Fiorito)
Atención 7 a 14 hs
TE: 4337311 / 7338",4337311 / 7338,"Lunes a viernes de 7 a 14 hs
","Calle Humberto 1º 4900 esq. Fiorito
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4337311 / 7338,,,,
-64.193448,-31.47643,0,CS N° 53 - Inaudi,Centro de Salud,"Calle Teniente Nivoli
Atención: 7 a 17 hs.
TE: 4333314","4333314",Lunes a viernes de 7 a 17 hs,"Teniente Nivoli esq. Fiorito
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4333314",,7 a 17 hs.,,
-64.217497,-31.344621,0,CS N 54 - Los Boulevares,Centro de Salud,"Bv de Los Hungaros esq Bv. De los Lombardos
Calle 7 a 14 hs
TE: 4335442/5111",4335442/5111,"Lunes a viernes de 7 a 14 hs
","Bv de Los Húngaros esq. Bv. De los Lombardos
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4335442/5111,,,,
-64.240834,-31.406385,0,CS N° 55 - Las Palmas,Centro de Salud,"Calle Miguel de Sopeña 350
Atención: 7 A 14 hs.
TE: 4337339","4337339","Lunes a viernes de 7 A 14 hs.
","Miguel de Sopeña 350
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4337339",,7 A 14 hs.,,
-64.124231,-31.432059,0,CS N° 56 - Empalme,Centro de Salud,"Calle Ariza 4800 (entre Samaniego y Pichanas)
Atención 7 a 14 hs
TE: 4338561 / 8766",4338561 / 8766,"Lunes a viernes de 7 a 14 hs
","Ariza 4800 entre Samaniego y Pichanas
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4338561 / 8766,,,,
-64.244565,-31.333858,0,CS N° 57 - Arguello I.P.V,Centro de Salud,"Calle Fermin Martin S/N (Esq. Alberto Fage)
Atención 7 a 17 hs 
03543-449432",03543-449432,"Lunes a viernes de 7 a 17 hs
","Fermin Martin S/N esq. Alberto Fage
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,,,,,
-64.131618,-31.414486,0,CS N° 58 - Maldonado,Centro de Salud,"Calle Martín Cartechini esq. Blas Parera
Atención 7 a 19 hs
TE: 4338769 - 155376415",:4338769 - 155376415,"Lunes a viernes de 7 a 19 hs
","Martín Cartechini esq. Blas Parera
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,4338769 - 155376415,,,,
-64.232624,-31.467755,0,CS N° 59 - Congreso,Centro de Salud,"Calle Curazao esq. Ralico
Atención 7 a 17 hs
TE: 4333305","4333305","Lunes a viernes de 7 a 17 hs
","Av. Curazao esq. Ralicó
","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología.",,,,"4333305",,,,
-64.190261,-31.372003,0,CS N° 60 - Marqués de Sobremonte Anexo,Centro de Salud,"Calle Del Molino esq. Del Precursor
Atención 7 a 14 hs
TE: 4335122","4335122","Lunes a viernes de 7 a 14 hs
","Del Molino esq. Del Precursor

","Control del niño sano; Control del embarazo y puerperio; Salud sexual y reproductiva; Control de enfermedades crónicas no transmisibles (ECNT); Inmunizaciones; Odontología. ",,,,"4335122",,,,
